bucket,run_start,run_end,months,median_real_10y,median_nom_10y
cape_gt30,1929-08,1929-09,2,-0.016213934350907677,-0.03716427854904575
cape_gt30,1997-06,2001-08,51,-0.017876654765095146,0.009815612346352642
cape_gt30,2001-11,2002-01,3,0.003163881310184191,0.02794695707533945
cape_gt30,2002-03,2002-03,1,0.013213994035882193,0.03877683163308143
cape_gt35,1998-03,1998-08,6,0.006884702107008089,0.0359624609639102
cape_gt35,1998-11,2001-02,28,-0.03150745195891036,-0.007777151644007663
cape_gt40,1999-01,2000-09,21,-0.03449886843231431,-0.009698960430651438
