window,years,nominal_cagr,real_cagr,inflation_cagr,growth_of_100
2016-2025,10,0.14678457455054938,0.11117710635233591,0.03204481805344428,393.38557065607773
2006-2025,20,0.10901551022605838,0.08167239112452318,0.02527855876316565,792.0496402433548
1996-2025,30,0.1025611023258397,0.07541855838626899,0.025239051091232367,1871.0267781877328
1976-2025,50,0.11923769669423323,0.0804158290645487,0.03593233881374869,27932.927446494825
1928-2025,98,0.10017714854008042,0.06776258429759907,0.03035746402727213,1157009.0876078461
