threshold,episodes,years_per_episode,median_depth,worst_depth,median_peak_to_trough_days,median_trough_to_recovery_days,median_full_cycle_days,mean_full_cycle_years,max_full_cycle_years,open_episodes
0.05,73,1.3523107648167423,-0.08229048188217769,-0.8618957937515594,34.0,49.0,84.0,1.0748127103785172,25.01574264202601,0
0.1,26,3.7968725319854686,-0.19848451785190513,-0.8618957937515594,179.0,149.5,433.0,2.6325488337808665,25.01574264202601,0
0.2,12,8.226557152635182,-0.3371723762911294,-0.8618957937515594,481.0,532.0,764.0,4.993839835728953,25.01574264202601,0
0.3,7,14.102669404517455,-0.4820359290935835,-0.8618957937515594,543.0,1480.0,1997.0,7.26547374596656,25.01574264202601,0
0.5,2,49.35934291581109,-0.7148248355896438,-0.8618957937515594,753.0,4814.0,5567.0,15.241615331964407,25.01574264202601,0
