bucket,months_in_bucket,horizon_years,kind,n,median,mean,worst,best,share_negative,p5,p25,p75,p95
all,1749,1,real,1737,0.0868543829286248,0.0845886611475241,-0.581234870574684,1.5130734509332155,0.3160621761658031,-0.2172496859935681,-0.03791778112030686,0.20091687485364762,0.38747417882723917
all,1749,1,nom,1737,0.11429222661069383,0.11057069831806675,-0.622834055616934,1.3980594386457366,0.2740356937248129,-0.1858097362214059,-0.014236339721933056,0.23125110445560293,0.39456857937660417
all,1749,3,real,1713,0.07312273741579922,0.07201627748404385,-0.3520557782322816,0.39225005383677725,0.22416812609457093,-0.09978356294005956,0.010917991037969976,0.13307682136663046,0.24633023039856441
all,1749,3,nom,1713,0.10160321321265942,0.09844549023456052,-0.4019990282947191,0.3966900602156842,0.14535901926444833,-0.05822656297571575,0.03790529234012374,0.1621221461690434,0.2661839815250025
all,1749,5,real,1689,0.0721106771238027,0.06975366061009715,-0.13233010504444653,0.33346462865030757,0.19834221432800472,-0.05485317645586476,0.017914484974622447,0.11710847820245873,0.20432104367856313
all,1749,5,nom,1689,0.10032756621825611,0.09670705024808102,-0.17309981271149566,0.336569352909579,0.09887507400828893,-0.02224717314239417,0.04123245186175084,0.1496859024982078,0.22442355454490606
all,1749,10,real,1629,0.06609052562655826,0.06727360600770355,-0.059238835834665604,0.19958456398027824,0.11847759361571517,-0.023429749899351912,0.034988066159721276,0.10384932199804964,0.15108947380159637
all,1749,10,nom,1629,0.08917385838572134,0.09500440487627615,-0.0402133131866943,0.211721820910995,0.03130755064456722,0.015028386515128833,0.05686219369931744,0.14062738117360674,0.17720204906458778
cape_25_30,147,1,real,147,0.08972354818450423,0.08045073534499399,-0.39288305307483873,0.46381741221591666,0.23809523809523808,-0.20729579000406964,0.006002555851049918,0.17417766880586172,0.33732771404216316
cape_25_30,147,1,nom,147,0.11574574748004696,0.10575365084468903,-0.39232806986334345,0.5247077495598849,0.23129251700680273,-0.19122027302805208,0.024646157532439594,0.19416421119631067,0.38125603170193756
cape_25_30,147,3,real,146,0.08381514520386713,0.050618901059906234,-0.3520557782322816,0.26835960129954284,0.2671232876712329,-0.22411605618009722,-0.014447425394735869,0.1200600328315421,0.23891357793002577
cape_25_30,147,3,nom,146,0.10955703591283217,0.0730323466510738,-0.4019990282947191,0.29459248389833226,0.2465753424657534,-0.2709453901966097,0.019458340509885153,0.14582484637407161,0.2639156266818568
cape_25_30,147,5,real,133,0.051904846360248724,0.04155055571892493,-0.10976976689720286,0.1560751859960401,0.39849624060150374,-0.066396209955877,-0.019265973094707012,0.10609687351100017,0.14569594067723948
cape_25_30,147,5,nom,133,0.07491680985722105,0.06303637230324179,-0.15285086380829938,0.18732614702436523,0.21804511278195488,-0.1053171059080483,0.004268016489462623,0.14653408705417625,0.17401830789713582
cape_25_30,147,10,real,108,0.055709962669314605,0.058078481621255264,-0.01151812043731415,0.1175475721024346,0.046296296296296294,0.0020665320603763917,0.048985977838057526,0.0645277281302547,0.1117227839290964
cape_25_30,147,10,nom,108,0.07725367977745634,0.07886224417534979,-0.03361092694436596,0.1551325223135256,0.10185185185185185,-0.017462939209673574,0.06970760156904521,0.08888497775267051,0.14732773387379994
cape_gt30,137,1,real,125,0.0784797517015936,0.04023647201826705,-0.29785188425074827,0.311676852432085,0.352,-0.2266616495857499,-0.11847889767722164,0.17875474626931065,0.26336917479271416
cape_gt30,137,1,nom,125,0.10962082914838067,0.07252580838169914,-0.30687308382982237,0.34773983867291025,0.336,-0.21160370185030494,-0.05754530730020502,0.20717645412180263,0.310758382021508
cape_gt30,137,3,real,102,0.03557242874107913,0.015596197083535488,-0.2685588334349247,0.18177938666431204,0.38235294117647056,-0.15252884965711894,-0.049937242137363724,0.10213647113306612,0.15660848932251623
cape_gt30,137,3,nom,102,0.08840613124160457,0.04540109188775238,-0.32659662625996577,0.21777523104220897,0.3431372549019608,-0.13148909035817422,-0.028450739260056812,0.12809614449106876,0.1858110210376668
cape_gt30,137,5,real,91,-0.008782515887235998,0.012232112890291257,-0.13233010504444653,0.11138853321074205,0.5384615384615384,-0.05385081793717861,-0.040521334065385384,0.06943283551038748,0.10153360701077296
cape_gt30,137,5,nom,91,0.015393853229556331,0.042880924097502104,-0.17309981271149566,0.16191679931746572,0.4065934065934066,-0.02955562798928779,-0.015877805141077617,0.11126116175678602,0.1501099654644623
cape_gt30,137,10,real,57,-0.01125891000713597,-0.010195875266030822,-0.059238835834665604,0.04487394324606164,0.5964912280701754,-0.046940333032934566,-0.03131563936853632,0.0061390162450449814,0.037550976853982385
cape_gt30,137,10,nom,57,0.011830000955471931,0.013559033237933966,-0.0402133131866943,0.07263092548288586,0.43859649122807015,-0.029080316352816736,-0.009598691041887375,0.034179655355879524,0.06458046885351787
cape_gt35,71,1,real,59,0.045719044357505734,0.002360273815338825,-0.29785188425074827,0.238206924384035,0.4576271186440678,-0.21351778462771406,-0.14991568234507785,0.14021089930457475,0.20024108747640876
cape_gt35,71,1,nom,59,0.0817783217491439,0.04057300381033909,-0.2792572882090293,0.2908143005314763,0.423728813559322,-0.17806512810151795,-0.1205819457119322,0.17123167299640663,0.2328089084554532
cape_gt35,71,3,real,47,-0.04807177242987826,-0.04617029663377677,-0.17111555828612235,0.08182482318432505,0.6170212765957447,-0.1577384319431815,-0.12864609631026708,0.035175734568349104,0.059636525315419874
cape_gt35,71,3,nom,47,-0.02812834883302573,-0.01571051051550567,-0.15064494386511385,0.12502740435191706,0.574468085106383,-0.1374517950675832,-0.10977357720191938,0.08840613124160457,0.10926564349303275
cape_gt35,71,5,real,42,-0.039826107210008066,-0.01570380393843211,-0.0579634471141367,0.08930181482156785,0.8095238095238095,-0.053893458225523126,-0.04568599923527916,-0.020812503537011084,0.08903139704897366
cape_gt35,71,5,nom,42,-0.015065644050618776,0.012759132760949334,-0.03369214517200436,0.13791423606632391,0.7380952380952381,-0.02966845634259937,-0.02149181083514437,0.0035062632522716575,0.13499256993546213
cape_gt35,71,10,real,34,-0.030298676334102492,-0.02579831975956515,-0.059238835834665604,0.010828973340422543,0.8529411764705882,-0.05128659731710083,-0.03541835906193569,-0.012932776910099447,0.00845615261869228
cape_gt35,71,10,nom,34,-0.006016224636250456,-0.0009324595222806336,-0.03503941807467148,0.040122527042837586,0.6764705882352942,-0.027006043453682987,-0.012635753209748746,0.010059479770745838,0.03671948953042559
cape_gt40,26,1,real,21,-0.031185435041120257,-0.04288862370634804,-0.29785188425074827,0.12497657875535295,0.5238095238095238,-0.21796466028058104,-0.16935059030017774,0.0784797517015936,0.09778968958609058
cape_gt40,26,1,nom,21,0.002202113840409803,-0.011276755248082396,-0.2792572882090293,0.15578847531286444,0.47619047619047616,-0.1966940231470089,-0.14236893894101865,0.11871184833546788,0.13903996883114367
cape_gt40,26,3,real,21,-0.13271083593140742,-0.12059379601483637,-0.17111555828612235,-0.04192931485531037,1.0,-0.164615644375533,-0.1429423886977652,-0.09714409385934097,-0.04807177242987826
