dca_months,uninvested_cash,windows,ls_beats_dca,median_ls_minus_dca,mean_ls_minus_dca,ls_p5,dca_p5,ls_median,dca_median,ls_p95,dca_p95,dca_beats_all_cash
3,cash earns 3m T-bill,453,0.6490066225165563,0.012050370350343398,0.00850650959086571,0.8145330251059826,0.8283727269223926,1.144125656106016,1.1291152563775486,1.3542539935314974,1.3384377591677457,0.8013245033112583
3,cash earns 0%,453,0.6688741721854304,0.015363625564608574,0.01127037629037882,0.8145330251059826,0.8273394775663038,1.144125656106016,1.1272522471864912,1.3542539935314974,1.3334823402839444,0.8013245033112583
6,cash earns 3m T-bill,453,0.7041942604856513,0.023527418917272058,0.02098290228932927,0.8145330251059826,0.8618150185786796,1.144125656106016,1.1169282777990615,1.3542539935314974,1.295610561237236,0.7947019867549668
6,cash earns 0%,453,0.7483443708609272,0.0300822495723585,0.02776733765640791,0.8145330251059826,0.8598715754634095,1.144125656106016,1.1082474727719764,1.3542539935314974,1.2839846938468127,0.7770419426048565
12,cash earns 3m T-bill,453,0.7660044150110376,0.04882457316086919,0.04505412708014792,0.8145330251059826,0.9045990890074666,1.144125656106016,1.0888894722942115,1.3542539935314974,1.2099651915455172,0.7770419426048565
12,cash earns 0%,453,0.8035320088300221,0.06342559923279834,0.05943189507844452,0.8145330251059826,0.8872163083570352,1.144125656106016,1.0770943696349042,1.3542539935314974,1.188896021580914,0.7439293598233996
