period,days,new_high_days,share_new_high,within_1pct,within_2pct,within_5pct,within_10pct,below_high_gt20pct
full history,24796,1463,0.05900145184707211,0.1589772543958703,0.2280206484916922,0.361187288272302,0.4801177609291821,0.3643732860138732
last 50 years,12603,982,0.07791795604221217,0.21352059033563436,0.3096088232960406,0.48083789573910973,0.614615567721971,0.18408315480441165
last 30 years,7547,630,0.08347687822976017,0.23108519941698688,0.31509208957201534,0.4517026633099245,0.5800980522061746,0.2426129587915728
last 20 years,5031,478,0.09501093222023455,0.28205128205128205,0.37904989067779765,0.5233551977738025,0.6722321606042536,0.14768435698668256
