period,days,below_high_by_10pct_or_more,below_high_by_20pct_or_more,below_high_by_30pct_or_more
full history,24796,0.5198822390708179,0.3643732860138732,0.25504113566704306
last 50 years,12603,0.38538443227802904,0.18408315480441165,0.06157264143457907
last 30 years,7547,0.41990194779382534,0.2426129587915728,0.10109977474493176
last 20 years,5031,0.3277678393957464,0.14768435698668256,0.06976744186046512
