month,nominal,cpi_yoy,real
2022-03,0.004473913043478261,0.08572204966013852,-0.0748332749087054
2022-02,0.003147368421052632,0.07937278766517819,-0.0706201046711683
2022-05,0.009928571428571429,0.08538171195642064,-0.06951760813423269
2022-04,0.007634999999999999,0.08231750770777224,-0.06900240195313978
2022-01,0.0014550000000000001,0.07558805726967832,-0.06892328040333684
2022-06,0.015385714285714287,0.08979361103105798,-0.06827705355599034
2021-12,0.0005863636363636364,0.07174340285065539,-0.06639372729053061
2021-11,0.000515,0.06901970403700863,-0.06408179734976804
2021-10,0.0005200000000000001,0.06235042390298062,-0.05820153361055869
2022-07,0.02298,0.08462576727730098,-0.05683597894972403
