as_of,basis,nominal,cpi_yoy,real
2026-09-17,"latest daily 3m yield, latest CPI y/y",0.0412,0.03353016322755642,0.007421009125163636
2026-08,"monthly average 3m yield, same-month CPI y/y",0.038766666666666665,0.03353016322755642,0.0050666188810177815
2021 average,monthly averages,0.00045283820965457116,0.04676516621102509,-0.04395406738639268
2010-2019 average,monthly averages,0.005765338687628161,0.017712719768810718,-0.011684043923113922
