period,months,share_months_real_negative,mean_real
1982-1989,96,0.0,0.04016172396507486
1990-1999,120,0.058333333333333334,0.019310016491073053
2000-2008,108,0.4444444444444444,0.0015576632023568539
2009-2021,156,0.8333333333333334,-0.012672128266370706
2010-2019,120,0.8666666666666667,-0.011684043923113922
2022-2026-08,55,0.3090909090909091,-0.001147535464891888
1982-2008,324,0.1697530864197531,0.019570849090834855
