period,months,mean_nominal,mean_cpi_yoy,mean_real,min_real,max_real,share_months_real_negative
1982-1989,96,0.08133903166028131,0.03958844583700665,0.04016172396507486,0.013020450606585632,0.07108022412370252,0.0
1990-1999,120,0.04991929176187614,0.030075067393568793,0.019310016491073053,-0.0033600564573041947,0.037359938271605,0.058333333333333334
2000-2009,120,0.02759834030868201,0.02573315174981065,0.001880232050259444,-0.03642277436351682,0.03589383476025376,0.4166666666666667
2010-2019,120,0.005765338687628161,0.017712719768810718,-0.011684043923113922,-0.03659297017129426,0.009224971958683659,0.8666666666666667
2009-2021,156,0.004870376586609424,0.017951327869126683,-0.012672128266370706,-0.06639372729053061,0.021852002171054208,0.8333333333333334
2021,12,0.00045283820965457116,0.04676516621102509,-0.04395406738639268,-0.06639372729053061,-0.012726749385350233,1.0
2022,12,0.020831496540263703,0.07998425512331957,-0.054684364109420285,-0.0748332749087054,-0.019233239507721378,1.0
2023-2026-08,43,0.04697074276754176,0.03278919788122067,0.013792974854511385,-0.015421066756540869,0.026200027962052674,0.11627906976744186
1982-2026-08,535,0.03761125118773556,0.029354238152623887,0.008039231112724506,-0.0748332749087054,0.07108022412370252,0.3775700934579439
