asset,10y,20y,30y,50y,98y,real_30y
S&P 500 (total return),0.14678457455054938,0.10901551022605838,0.1025611023258397,0.11923769669423323,0.10017714854008042,0.07541855838626899
Gold,0.1513697999584005,0.11267118687930866,0.08390555313369763,0.07105315952240199,0.0560913234673297,0.05722226633878447
Baa corporate bonds,0.042909742075804225,0.05323039348681058,0.06305298317466779,0.08540765267094796,0.06629571024862857,0.03688303917333946
US home prices (price index),0.06492005561290393,0.030495937997770506,0.04754911357504521,0.051653768615040674,0.0419795490349999,0.021760839542803723
10-year T-bond,0.008918155487982471,0.027848707156751917,0.038600647548681755,0.06132098294415922,0.045345855650651634,0.013032664375423053
3-month T-bill,0.022336936808812435,0.016723151522569202,0.02332862363038668,0.04313963099264728,0.03371627767530261,-0.0018633970865744587
