period,years,mean_intra_year_drawdown,median_intra_year_drawdown,positive_calendar_years,share_years_dd_ge_5pct,share_years_dd_ge_10pct,share_years_dd_ge_15pct,share_years_dd_ge_20pct
1928-2025,98,-0.16301773454355337,-0.13125233655884228,66,0.9387755102040817,0.6224489795918368,0.3979591836734694,0.25510204081632654
1980-2025,46,-0.14144768288821458,-0.10183513518931359,35,0.9347826086956522,0.5217391304347826,0.3695652173913043,0.15217391304347827
