start,end,cagr_10y_nominal,cagr_10y_real
1928,1937,-0.00616350221340678,0.012239549246842785
1929,1938,-0.016691688186008857,0.0031745762143904344
1930,1939,-0.009230787444442057,0.011375771180892391
1931,1940,0.008408191259375197,0.02187327260905425
1932,1941,0.05379861142088127,0.04751375907839117
1933,1942,0.08218423306454059,0.05496890761678097
1934,1943,0.0626971606854736,0.03374158645334968
1935,1944,0.08266647819581419,0.05235718074385676
1936,1945,0.0743268588279613,0.04500219042285569
1937,1946,0.0357939947291368,-0.007701476671044261
1938,1947,0.0874497446076552,0.035914367058906826
1939,1948,0.06577259376030553,0.009428692175120545
1940,1949,0.08503440063645473,0.029828979787013044
1941,1950,0.1272176608109672,0.06447556383593378
1942,1951,0.1672700162837597,0.10631783676275774
1943,1952,0.16626435058651623,0.11412660850258827
1944,1953,0.13908672614607598,0.09052717181992387
1945,1954,0.1677124594246191,0.12131282448593739
1946,1955,0.16491080440734684,0.12069216079380651
1947,1956,0.1836773850793081,0.15447967653014283
1948,1957,0.16475548854743982,0.14241664440888435
1949,1958,0.20109426789095486,0.17947575777589608
1950,1959,0.19459618972127335,0.1686315267228211
1951,1960,0.1633340017259033,0.14308046415502673
1952,1961,0.16608798265954094,0.1517117251962905
1953,1962,0.13627018092538434,0.12161907566450614
1954,1963,0.16108173638813184,0.1450967452778984
1955,1964,0.1301051254086607,0.11263962177994435
1956,1965,0.11158250917984969,0.0927290272995227
1957,1966,0.09210291561424722,0.07308689407747893
1958,1967,0.12806385072920157,0.1082699390595292
1959,1968,0.09911156172333357,0.07673475750239911
1960,1969,0.07736479275859942,0.05090482017746334
1961,1970,0.08077814345031298,0.049953047368245906
1962,1971,0.06968252378043793,0.03653232360882863
1963,1972,0.09831318588987337,0.062122639200052676
1964,1973,0.05966094844557612,0.01788469729924058
1965,1974,0.012853514706793412,-0.037401085352807395
1966,1975,0.03309632391117345,-0.022865754529738713
1967,1976,0.06656048421336203,0.007425146222304502
1968,1977,0.036502026916034325,-0.02437937949556579
1969,1978,0.032402626959679104,-0.03213881249062023
1970,1979,0.0591644286438473,-0.013452521888849711
1971,1980,0.0849604347248516,0.004155871867167926
1972,1981,0.06548526698136703,-0.01911329069266887
1973,1982,0.0669686210556999,-0.01814905302645864
1974,1983,0.10563933571293393,0.022154958542358827
1975,1984,0.1461016257182164,0.0678174915586458
1976,1985,0.141189140972229,0.06641174042033082
1977,1986,0.13617319999082533,0.06561570592528954
1978,1987,0.15090786460170147,0.08175556343228396
1979,1988,0.16131026951273797,0.096247026075031
1980,1989,0.1734204905093959,0.11650762829598271
1981,1990,0.13797252412808803,0.08914887399281834
1982,1991,0.17407622764071773,0.12993289472812042
1983,1992,0.16082054423669723,0.11818027981956147
1984,1993,0.1485119168390474,0.10744125778589653
1985,1994,0.14318663958953404,0.10366634246160489
1986,1995,0.14827527760648773,0.10993409888313388
1987,1996,0.1522690188222664,0.11137288209829399
1988,1997,0.1790143584410253,0.140187401355246
1989,1998,0.19044175039779843,0.15438044117177752
1990,1999,0.18048680950939855,0.14689652514016172
1991,2000,0.1730101840426046,0.14259539134809107
1992,2001,0.12810990875063477,0.10048515425599747
1993,2002,0.09255035283811863,0.06634035727650756
1994,2003,0.10957523082208387,0.08387693005533148
1995,2004,0.11947973951562019,0.0929355222531707
1996,2005,0.0897647607763219,0.06301915595742624
1997,2006,0.08331696045628201,0.05753256248383298
1998,2007,0.05841383175530357,0.030835994409175616
1999,2008,-0.013580715803109933,-0.037833130995470365
2000,2009,-0.009535505819243006,-0.033921966237925205
2001,2010,0.013799629164080285,-0.009334213755160525
2002,2011,0.0288016700656184,0.003939521417560821
2003,2012,0.07030638422967184,0.04509218339030996
2004,2013,0.07342490638034338,0.0485266638023405
2005,2014,0.07609114367678327,0.053709534683014315
2006,2015,0.072490360627667,0.0529511047629978
2007,2016,0.06887425973118,0.04987901512915549
2008,2017,0.08418394572727039,0.06695580483144647
2009,2018,0.12975892879687323,0.10980626778008684
2010,2019,0.13440545615581634,0.11484505225032193
2011,2020,0.1375300508524624,0.1180631504954941
2012,2021,0.16396730074674792,0.13961710786760428
2013,2022,0.12433953197741343,0.0958444393359843
2014,2023,0.11905219988153348,0.08872246037446274
2015,2024,0.12977047682278142,0.09685157673820677
2016,2025,0.14678457455054938,0.11117710635233591
